job_title,company_name,company_location,workplace_type,post_date,applicants,job_type,experience,company_size,industry
(Junior) Business Intelligence & Analytics Professional (m/w/d),affinis, Bremen,Hybrid,2 months ago,1,Full-time , Mid-Senior level,medium, IT Services and IT Consulting
Praktikum im Bereich Data Analytics,BMW Group, Bavaria,On-site,1 week ago,18,Full-time , Internship,large, Motor Vehicle Manufacturing
Data Scientist phys. Logistik (w/m/x) - TL-160,BMW Group, Saxony,On-site,6 days ago,14,Full-time , Entry level,large, Motor Vehicle Manufacturing
Data Research & Analysis (m/w/d),Total Fansports GmbH, Rhineland-Palatinate,On-site,3 weeks ago,9,Full-time , Entry level,small, Spectator Sports
"DATA SCIENTIST - Dubai, UAE",Cobblestone Energy, Hesse,On-site,4 weeks ago,5,Full-time , Entry level,medium, Oil and Gas
In-house Analyst Consultant - Junior (m/w/d),Picnic Technologies, North Rhine-Westphalia,On-site,4 weeks ago,3,Full-time , Entry level,large, Retail
Business Analytics Intern (m/f/d),Dental21, Berlin,On-site,5 days ago,35,Contract , Entry level,medium, Medical Practices
Research Associate for NGS Data Management / Developer for Web-Applications and Databases,Technische Universität Dresden, Saxony,On-site,3 weeks ago,4,Full-time , Mid-Senior level,large, Research
Teamleitung Stammdatenmanagement und Data Science (m/w/d),SportScheck, Bavaria,On-site,1 week ago,0,Full-time , Mid-Senior level,large, Sporting Goods Manufacturing
Student in Data Analytics (m/f/x),assetbird, Berlin,On-site,3 days ago,8,Full-time , Internship,small, IT Services and IT Consulting
Informatiker (Data Science / Data Analysis) m/w/d,Business Data Solutions GmbH & Co. KG, Bavaria,On-site,1 week ago,1,Full-time , Mid-Senior level,small, Information Services
Analyst,Urban Science, Hesse,Hybrid,6 days ago,35,Full-time , Entry level,medium, Automotive
In-house Analyst Consultant - Junior (m/w/d),Picnic Technologies, North Rhine-Westphalia,On-site,4 weeks ago,11,Full-time , Entry level,large, Retail
Data Scientist (all gender),Havas Media Germany, Hesse,Hybrid,1 month ago,3,Full-time , Entry level,medium, Advertising Services
Data Analyst (m/f/d),DEUFOL, Hesse,On-site,12 hours ago,52,Contract , Entry level,large," Transportation, Logistics, Supply Chain and Storage"
"Doktorand im Bereich Data Science, AI & Fahrzeuganalyse: Maschinelles Lernen / DeepLearning (w/m/x)",BMW Group, Bavaria,Hybrid,1 month ago,12,Full-time , Internship,large, Motor Vehicle Manufacturing
Data Scientist,receeve, Hamburg,On-site,1 month ago,120,Full-time , Mid-Senior level,medium, Software Development
(Junior) Data Analyst (m/w/d) Team Procurement Beverages,flaschenpost SE, Berlin,On-site,1 month ago,40,Full-time , Mid-Senior level,large, Food and Beverage Retail
GIS & Geodata Specialist (f/m/d),OCELL, Bavaria,On-site,6 days ago,36,Full-time , Entry level,small, Software Development
Specialist (m/w/d) Reporting Schwerpunkt Business Intelligence,Kärcher, Baden-Württemberg,On-site,1 month ago,0,Full-time , Mid-Senior level,large, Industrial Machinery Manufacturing
Praktikant (m/w/x) Data Science,German Bionic, Bavaria,On-site,2 weeks ago,3,Full-time , Internship,medium, Automation Machinery Manufacturing
Duales Studium - Data Science und Künstliche Intelligenz (B. Sc.) für 2024,Hirschvogel Group, Bavaria,On-site,1 month ago,1,Full-time , Entry level,large, Automotive
Data Analyst Battery Expert (all genders),PowerCo SE, Lower Saxony,Hybrid,3 weeks ago,15,Full-time , Entry level,medium, Motor Vehicle Manufacturing
Data Scientist (all gender),Havas Media Germany, Hesse,Hybrid,2 weeks ago,16,Full-time , Entry level,medium, Advertising Services
Intern/Working Student Data Analyst (f/m/d),Digital Charging Solutions, Bavaria,Hybrid,1 month ago,0,Internship , Internship,medium, Motor Vehicle Manufacturing
Business Analyst Performance Management & Data Analytics (w/m/x),BMW Group, Bavaria,On-site,6 days ago,37,Full-time , Mid-Senior level,large, Motor Vehicle Manufacturing
Praktikant Product Management (m/w/d),Exxeta, Berlin,On-site,6 days ago,3,Internship , Internship,large, Information Technology & Services
Working Student (f/m/d) / Praktikum / Abschlussarbeit / CTA,Dunia, Berlin,On-site,1 week ago,24,Part-time , Entry level,small, Nanotechnology Research
Junior Data Scientist/ML Engineer,CUJU, Rhineland-Palatinate,On-site,1 week ago,0,Full-time , Entry level,small," Technology, Information and Internet"
Werkstudent – Data Science (w/m/d),Holzprofi24, Hesse,On-site,2 weeks ago,5,Part-time , Internship,medium, Retail
Data Analyst (m/w/d),DIS AG, Lower Saxony,On-site,3 weeks ago,14,Full-time , Entry level,large, Human Resources Services
Junior Logistics Data Analyst (m/w/d),flaschenpost SE, North Rhine-Westphalia,On-site,1 month ago,3,Full-time , Mid-Senior level,large, Food and Beverage Retail
Data Analyst (m/w/d) ab sofort,Auto Fleet Control, Hamburg,On-site,1 week ago,7,Full-time , Entry level,medium, Insurance
(Junior) Consultant Data Science (m/w/d),BIVAL GmbH, Bavaria,On-site,1 month ago,1,Full-time , Entry level,small, IT Services and IT Consulting
Junior Professionals for Integrated Program and Capacity Planning Mercedes-Benz Cars for Future Leaders Programme Inspire - the Leaders Lab (f/m/x),Mercedes-Benz Group AG, Baden-Württemberg,On-site,3 weeks ago,40,Full-time , Entry level,large, Motor Vehicle Manufacturing
Intern in the area of artificial intelligence platform mlops (f/m/d),BMW Group, Bavaria,On-site,1 day ago,6,Internship , Internship,large, Motor Vehicle Manufacturing
Working Student (f/m/d) Power Market Analyst,Aquila Capital, Hamburg,On-site,2 weeks ago,49,Internship , Internship,medium, Investment Management
Data Scientist and Process Mining Architect,Processand, Bavaria,On-site,2 days ago,19,Full-time , Entry level,medium, IT Services and IT Consulting
Data Analyst (m/w/d),DIS AG, Lower Saxony,On-site,3 weeks ago,21,Full-time , Entry level,large, Human Resources Services
Junior Data Scientist (m/w/d),Oraylis GmbH, North Rhine-Westphalia,On-site,2 months ago,34,Full-time , Entry level,medium, IT Services and IT Consulting
Working Student (m/f/d) for ABOUT YOU’s Online Outlet,ABOUT YOU, Hamburg,On-site,5 days ago,12,Internship , Internship,large," Technology, Information and Internet"
In-house Analyst Consultant - Junior (m/w/d),Picnic Technologies, North Rhine-Westphalia,On-site,4 weeks ago,2,Full-time , Entry level,large, Retail
Geospatial specialist (f/m/d) - Working Student or Internship - Augsburg or remote,credium, Bavaria,On-site,2 weeks ago,52,Internship , Internship,small, Information Services
Data Analyst (m/w/d) im versicherungstechnischen Controlling,RheinLand Versicherungsgruppe, North Rhine-Westphalia,On-site,1 month ago,4,Full-time , Entry level,large, Insurance
"Bachelor of Science (m/w/d) Data Science and Artificial Intelligence, Start 2024",TecAlliance, North Rhine-Westphalia,On-site,6 days ago,0,Full-time , Internship,medium, Information Technology & Services
Praktikant im Bereich Data Science Batteriezellproduktion (w/m/x),BMW Group, Bavaria,On-site,2 weeks ago,3,Full-time , Internship,large, Motor Vehicle Manufacturing
In-house Analyst Consultant - Junior (m/w/d),Picnic Technologies, North Rhine-Westphalia,On-site,3 weeks ago,0,Full-time , Entry level,large, Retail
Student Assistant (d/f/m) at the BIH QUEST Center - STUD-B 04.23.03,soatadomicilio, Berlin,On-site,4 weeks ago,6,Internship , Internship,small, Insurance
Data Scientist Lithium Ion Battery Testing (all genders),PowerCo SE, Lower Saxony,Hybrid,3 weeks ago,30,Full-time , Entry level,medium, Motor Vehicle Manufacturing
Talents wanted (w/m/d),Smart Steel Technologies, Berlin,On-site,1 month ago,12,Full-time , Entry level,medium, Software Development
Data Analyst (m/f/d) Product,Advantest, Baden-Württemberg,On-site,1 month ago,37,Full-time , Entry level,large, Semiconductor Manufacturing
