job_title,company_name,company_location,workplace_type,post_date,applicants,jobtype_experience,company_size_industry
Junior Data Analyst (Remote Internship – Data Analysis),TalentKompass Deutschland,"Essen, North Rhine-Westphalia, Germany",Remote,1 week ago,73 applicants,Internship,1-10 employees · Human Resources Services
Operational Performance Controller (m/f/d),Nordex Group,"Hamburg, Hamburg, Germany",Hybrid,2 months ago,6 applicants,Full-time · Director,"5,001-10,000 employees · Renewable Energy Semiconductor Manufacturing"
Product Analyst (m/f/d),AutoScout24,"Berlin, Berlin, Germany",On-site,1 week ago,93 applicants,Full-time · Mid-Senior level,"501-1,000 employees · Technology, Information and Internet"
Junior Data Analyst (Remote Internship – Data Analysis),TalentKompass Deutschland,"Cologne, North Rhine-Westphalia, Germany",Remote,1 week ago,91 applicants,Internship,1-10 employees · Human Resources Services
Data Scientist - Life Science (f/m/d),Capgemini,"Frankfurt, Hesse, Germany",Hybrid,4 weeks ago,8 applicants,Full-time · Entry level,"10,001+ employees · IT Services and IT Consulting"
Junior Data Analyst (Remote Internship – Data Analysis),TalentKompass Deutschland,"Frankfurt, Hesse, Germany",Remote,1 week ago,,Internship,1-10 employees · Human Resources Services
Assc. Director-Data Scientist,Moody's Corporation,"Berlin, Berlin, Germany",On-site,2 weeks ago,19 applicants,Full-time,"10,001+ employees · Financial Services"
Junior Data Analyst (Remote Internship – Data Analysis),TalentKompass Deutschland,"Hamburg, Hamburg, Germany",Remote,1 week ago,149 applicants,Internship,1-10 employees · Human Resources Services
Junior Data Analyst (Remote Internship – Data Analysis),TalentKompass Deutschland,"Stuttgart, Baden-Württemberg, Germany",Remote,1 week ago,48 applicants,Internship,1-10 employees · Human Resources Services
Expert - AI Strategy (f/m/x),BMW Group,"München, Bavaria, Germany",On-site,1 month ago,114 applicants,Full-time · Mid-Senior level,"10,001+ employees · Motor Vehicle Manufacturing"
Bachelorand/ Masterand (m/w/d) im IT-Bereich,C.F. Maier-Firmengruppe,"Königsbronn, Baden-Württemberg, Germany",On-site,2 months ago,1 applicant,Full-time · Internship,"501-1,000 employees · Motor Vehicle Manufacturing"
Junior Data Analyst (Remote Internship – Data Analysis),TalentKompass Deutschland,"Nuremberg, Bavaria, Germany",Remote,1 week ago,77 applicants,Internship,1-10 employees · Human Resources Services
Junior Data Analyst (Remote Internship – Data Analysis),TalentKompass Deutschland,"Dresden, Saxony, Germany",Remote,1 week ago,45 applicants,Internship,1-10 employees · Human Resources Services
Junior Data Analyst (Remote Internship – Data Analysis),TalentKompass Deutschland,"München, Bavaria, Germany",Remote,1 week ago,91 applicants,Internship,1-10 employees · Human Resources Services
Junior Data Analyst (Remote Internship – Data Analysis),TalentKompass Deutschland,"Leipzig, Saxony, Germany",Remote,1 week ago,138 applicants,Internship,1-10 employees · Human Resources Services
Product Analyst (m/f/d),AutoScout24,"Munich, Bavaria, Germany",On-site,1 week ago,29 applicants,Full-time · Mid-Senior level,"501-1,000 employees · Technology, Information and Internet"
Data Analyst (m/w/d) für Logistikprojekte,EPG Ehrhardt Partner Group,"Boppard, Rhineland-Palatinate, Germany",On-site,2 months ago,1 applicant,Full-time · Entry level,"501-1,000 employees · Software Development"
"Informatiker, Wirtschaftsinformatiker - Data Science (m/w/d)- Berliner Wasserbetriebe",Berliner Wasserbetriebe,"Berlin, Berlin, Germany",On-site,1 week ago,2 applicants,Full-time · Mid-Senior level,"1,001-5,000 employees · Environmental Services"
Data Scientist (m/w/d),Charisma-Tec GmbH,"Essen, North Rhine-Westphalia, Germany",On-site,1 week ago,21 applicants,Full-time · Entry level,1-10 employees · Human Resources Services
Junior Data Analyst (Remote Internship – Data Analysis),TalentKompass Deutschland,"Munich, Bavaria, Germany",Remote,1 week ago,48 applicants,Internship,1-10 employees · Human Resources Services
Data Visualization and Analysis Specialist (Tableau Focus) (m/f/d),yfood Labs,"München, Bavaria, Germany",On-site,1 week ago,53 applicants,Full-time · Mid-Senior level,51-200 employees · Food & Beverages
Data Scientist im Restwertrisikomanagement (w/m/x),BMW Group,"München, Bavaria, Germany",On-site,2 months ago,32 applicants,Full-time · Entry level,"10,001+ employees · Motor Vehicle Manufacturing"
"JUNIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Frankfurt am Main, Hesse, Germany",On-site,1 month ago,115 applicants,Full-time · Entry level,51-200 employees · Oil and Gas
Senior Data Analyst (f/m/d),Container xChange,"Hamburg, Hamburg, Germany",On-site,6 days ago,45 applicants,Full-time · Mid-Senior level,"201-500 employees · Transportation, Logistics, Supply Chain and Storage"
Junior Data Analyst (Remote Internship – Data Analysis),TalentKompass Deutschland,"Hannover, Lower Saxony, Germany",Remote,1 week ago,118 applicants,Internship,1-10 employees · Human Resources Services
Data Analysis Battery Expert (all genders),PowerCo SE,"Salzgitter, Lower Saxony, Germany",On-site,1 month ago,28 applicants,Full-time · Entry level,"501-1,000 employees · Motor Vehicle Manufacturing"
Data Science / Machine Learning Internship (m/f/d) - IoT Startup,Livello Technologies,"Düsseldorf, North Rhine-Westphalia, Germany",On-site,2 days ago,26 applicants,Internship · Internship,11-50 employees · IT Services and IT Consulting
Data Science Work&Study,Possehl Analytics GmbH,"Augsburg, Bavaria, Germany",On-site,2 months ago,7 applicants,Temporary,11-50 employees · IT Services and IT Consulting
Intern in the area of research development - new technologies (f/m/d),BMW Group,"München, Bavaria, Germany",On-site,3 weeks ago,52 applicants,Internship · Internship,"10,001+ employees · Motor Vehicle Manufacturing"
Data Scientist (all genders),urban energy GmbH,"Berlin, Berlin, Germany",Hybrid,3 weeks ago,65 applicants,Full-time · Entry level,11-50 employees · Renewables & Environment
Data Scientist (m/f/d),Vaillant Group,"Remscheid, North Rhine-Westphalia, Germany",Hybrid,2 months ago,91 applicants,Full-time,"10,001+ employees · Renewables & Environment"
Praktikant Data Science (m/w/d),konversionsKRAFT (Web Arts AG),"Bad Homburg, Hesse, Germany",On-site,4 weeks ago,,Full-time · Entry level,"51-200 employees · Technology, Information and Internet"
(Junior) Data Scientist (w/m/d),prognostica GmbH,"Würzburg, Bavaria, Germany",Hybrid,2 weeks ago,62 applicants,Full-time · Entry level,11-50 employees · IT Services and IT Consulting
Studentische Beschäftigung mit 40-80 Monatsstunden (Kennziffer 3435T23/23 BIFOLD),Technische Universität Berlin,"Berlin, Berlin, Germany",On-site,2 weeks ago,1 applicant,Internship,"10,001+ employees · Education Administration Programs"
Student Assistant (d/w/m) at the BIH QUEST Center,soatadomicilio,"Berlin, Berlin, Germany",On-site,2 months ago,34 applicants,Internship · Internship,1-10 employees · Insurance
(Junior) Business Intelligence & Analytics Professional (m/w/d),affinis,"Bremen, Bremen, Germany",Hybrid,2 months ago,1 applicant,Full-time · Mid-Senior level,201-500 employees · IT Services and IT Consulting
Praktikum im Bereich Data Analytics,BMW Group,"München, Bavaria, Germany",On-site,1 week ago,18 applicants,Full-time · Internship,"10,001+ employees · Motor Vehicle Manufacturing"
Data Scientist phys. Logistik (w/m/x) - TL-160,BMW Group,"Leipzig, Saxony, Germany",On-site,6 days ago,14 applicants,Full-time · Entry level,"10,001+ employees · Motor Vehicle Manufacturing"
Data Research & Analysis (m/w/d),Total Fansports GmbH,"Saarburg, Rhineland-Palatinate, Germany",On-site,3 weeks ago,9 applicants,Full-time · Entry level,11-50 employees · Spectator Sports
"DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Frankfurt am Main, Hesse, Germany",On-site,4 weeks ago,5 applicants,Full-time · Entry level,51-200 employees · Oil and Gas
In-house Analyst Consultant - Junior (m/w/d),Picnic Technologies,"Cologne, North Rhine-Westphalia, Germany",On-site,4 weeks ago,3 applicants,Full-time · Entry level,"5,001-10,000 employees · Retail"
Business Analytics Intern (m/f/d),Dental21,"Berlin, Berlin, Germany",On-site,5 days ago,35 applicants,Contract · Entry level,"501-1,000 employees · Medical Practices"
Intern - Data Engineering & Visualization for Sustainable Investment Advice (f/m/d),Allianz Global Investors,"Munich, Bavaria, Germany",On-site,2 weeks ago,18 applicants,Full-time,"1,001-5,000 employees · Financial Services"
Junior Consultant (m/f/d) - Allianz Consulting - Data Analytics #StandwithUkraine,Allianz Services,"Munich, Bavaria, Germany",On-site,2 months ago,46 applicants,Full-time,"5,001-10,000 employees · Financial Services"
Research Associate for NGS Data Management / Developer for Web-Applications and Databases,Technische Universität Dresden,"Dresden, Saxony, Germany",On-site,3 weeks ago,4 applicants,Full-time · Mid-Senior level,"10,001+ employees · Research"
